公司编号,职位名称,职位链接,薪资待遇,工作地点,工作经验,最低学历,招聘人数,公司规模
23007687,一手房急招销售包住月薪过万不是梦,http://sh.ganji.com/zpshichangyingxiao/1639995974x.htm,3000-5000元,闵行-梅陇,1-3年,大专,20人,20-99人
23007687,急急急电话销售 底薪加高提成,http://sh.ganji.com/zpshichangyingxiao/1486233653x.htm,3000-5000元,闵行-梅陇,1-3年,大专,20人,20-99人
23007687,一手房急招销售包住月薪过万不是梦,http://sh.ganji.com/zpshichangyingxiao/1639983158x.htm,3000-5000元,闵行-梅陇,1-3年,大专,20人,20-99人
23007687,魔都找工作进来看看-底薪三千+包住,http://sh.ganji.com/zpshichangyingxiao/1639992125x.htm,3000-5000元,闵行-梅陇,不限,不限,20人,20-99人
23007687,销售-挑战和锻炼自己 努力高薪自来,http://sh.ganji.com/zpshichangyingxiao/1519129126x.htm,3000-5000元,闵行-梅陇,不限,不限,10人,20-99人
23007687,3000底薪包住急招电话销售,http://sh.ganji.com/zpshichangyingxiao/1549879276x.htm,3000-5000元,闵行-梅陇,1-3年,大专,20人,20-99人
23007687,急电销包住+底薪+提成+旅游+带薪年,http://sh.ganji.com/zpshichangyingxiao/1265459009x.htm,3000-5000元,闵行-梅陇,不限,初中,20人,20-99人
23007687,诚聘销售人员月薪过万不是梦,http://sh.ganji.com/zpshichangyingxiao/1414527905x.htm,3000-5000元,闵行-梅陇,不限,不限,5人,20-99人
22108670,艺术品经纪人5K-8K提高住宿,http://sh.ganji.com/zpshichangyingxiao/1546429144x.htm,5000-8000元,闸北-共和新路,1-3年,大专,20人,1000-9999人
19511187,培训机构高级课程顾问（8K+）,http://sh.ganji.com/zpshichangyingxiao/1527539395x.htm,8000-12000元,虹口-四平路,不限,大专,5人,20-99人
14900932,五千双休急招微信微博APP营销精英,http://sh.ganji.com/zpshichangyingxiao/1194686713x.htm,5000-8000元,黄浦-其他,不限,不限,10人,100-499人
14900932,急聘大客户专员,http://sh.ganji.com/zpshichangyingxiao/486013578x.htm,12000-20000元,徐汇-万体馆,不限,中专/技校,50人,100-499人
14118447,汽车展厅销售,http://sh.ganji.com/zpshichangyingxiao/1445172231x.htm,8000-12000元,闵行-七宝,1-3年,大专,3人,100-499人
14118447,销售助理,http://sh.ganji.com/zpshichangyingxiao/1452041872x.htm,3000-5000元,闵行-七宝,1年以内,大专,1人,100-499人
14118447,招东风风神汽车4s店销售,http://sh.ganji.com/zpshichangyingxiao/1451884558x.htm,8000-12000元,闵行-七宝,1-3年,大专,3人,100-499人
14118447,比亚迪月薪1-2W诚聘汽车销售顾问,http://sh.ganji.com/zpshichangyingxiao/1080166293x.htm,面议,闵行-七宝,1-3年,高中,2人,100-499人
14118447,月薪8000-10000招汽车销售,http://sh.ganji.com/zpshichangyingxiao/1445155554x.htm,8000-12000元,闵行-七宝,1-3年,高中,5人,100-499人
14118447,汽车销售,http://sh.ganji.com/zpshichangyingxiao/1445170140x.htm,5000-8000元,闵行-七宝,1-3年,中专/技校,3人,100-499人
14118447,北京现代4s店招汽车销售,http://sh.ganji.com/zpshichangyingxiao/1445213190x.htm,3000-5000元,闸北-共和新路,1-3年,大专,6人,100-499人
14118447,汽车销售,http://sh.ganji.com/zpshichangyingxiao/1464427223x.htm,3000-5000元,闵行-七宝,1-3年,中专/技校,5人,100-499人
14118447,北京现代招汽车销售,http://sh.ganji.com/zpshichangyingxiao/1464434747x.htm,5000-8000元,闸北-共和新路,1年以内,高中,6人,100-499人
